                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20211216"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      706                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298071398586650E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7713288351747210E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7713288351747210E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.3836003326458775E+000                 -8.5316514084635983E+001                 -9.8999999999999986E+001                 -4.3836003326458775E+000                 -4.3836003326466226E+000                 -1.6149158644876781E+001                 -8.5316514084635983E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6456336557404141E+000                  1.3366584248852614E-001                  2.9821877062793156E-001                  3.8416300860472701E+000                 -1.4305780859164036E-003                  1.4790512300310343E+001                  6.2666355353331205E-002                  6.6001406465739674E+000                  6.1668788357056503E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466782E-003                  8.5694137348165736E-003                  7.0858836234000055E-001                  2.7208188869942884E-001                                        0                                        5 
                                       2                                      706                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.0000000000000000E+000                  3.3298071398586650E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166353852700420E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166353852700420E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.3835744192521862E+000                 -8.5316514091366940E+001                 -9.8999999999999986E+001                 -4.3835744192521870E+000                 -4.3835744192530255E+000                 -1.6097742651477979E+001                 -8.5316514091366940E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6456335981770307E+000                  1.3366561215972847E-001                  2.9821877059029972E-001                  3.8416300861225334E+000                 -4.7808389254907976E-008                  1.4790512300332697E+001                  6.2666355399259507E-002                  6.6001406465508197E+000                  6.1668788357058124E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466782E-003                  8.5694137348165736E-003                  7.0858836234000055E-001                  2.7208188869942884E-001                                        0                                        2 
                                       3                                      706                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.0000000000000000E+000                  3.3298071398586650E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166340597375548E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166340597375548E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.3835433584551184E+000                 -8.5316514099070289E+001                 -2.0169009709486737E+001                 -4.3835433584551184E+000                 -4.3835433584560306E+000                 -1.6061211921964251E+001                 -8.5316514099070289E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6456335984644164E+000                  1.3366561337901578E-001                  2.9821877062517282E-001                  3.8416300860527874E+000                  3.6919680650481539E-008                  1.4790512300358532E+001                  6.2666355449263828E-002                  6.6001406465271089E+000                  6.1668788357059789E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466782E-003                  8.5694137348165736E-003                  7.0858836234000055E-001                  2.7208188869942884E-001                                        0                                        2 
                                       4                                      706                  5.3680000000000008E-005                 -4.7624562618571247E+000                  1.0000000000000000E+000                  3.3298071398586650E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166333233703231E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166333233703231E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.3835061361126932E+000                 -8.5316514107809738E+001                 -9.8999999999999986E+001                 -4.3835061361126932E+000                 -4.3835061361136596E+000                 -1.6036186404473405E+001                 -8.5316514107809738E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6456336057059811E+000                  1.3366564243264714E-001                  2.9821877066885916E-001                  3.8416300859654147E+000                  3.8541715330617269E-008                  1.4790512300388215E+001                  6.2666355506930033E-002                  6.6001406464996482E+000                  6.1668788357061688E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466782E-003                  8.5694137348165736E-003                  7.0858836234000055E-001                  2.7208188869942884E-001                                        0                                        3 
                                       5                                      706                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298071398586650E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166332174250794E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166332174250794E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.3834615418440217E+000                 -8.5316514117618254E+001                 -9.8999999999999986E+001                 -4.3834615418440217E+000                 -4.3834615418450245E+000                 -1.6019900959534596E+001                 -8.5316514117618254E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6456336128258244E+000                  1.3366567099885687E-001                  2.9821877071227704E-001                  3.8416300858785788E+000                  3.1920717989557303E-008                  1.4790512300422172E+001                  6.2666355570635698E-002                  6.6001406464704688E+000                  6.1668788357063753E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466782E-003                  8.5694137348165736E-003                  7.0858836234000055E-001                  2.7208188869942884E-001                                        0                                        4 
                                       6                                      706                  9.9299200000000013E-005                 -4.6040937697618753E+000                  1.0000000000000000E+000                  3.3298071398586650E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166338009069644E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166338009069644E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.3834081325733507E+000                 -8.5316514128504636E+001                 -9.8999999999999986E+001                 -4.3834081325733507E+000                 -4.3834081325743766E+000                 -1.6009974108108221E+001                 -8.5316514128504636E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6456336190706140E+000                  1.3366569606375350E-001                  2.9821877075514569E-001                  3.8416300857928416E+000                  2.6264072951396104E-008                  1.4790512300460525E+001                  6.2666355649766248E-002                  6.6001406464304395E+000                  6.1668788357066529E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466782E-003                  8.5694137348165736E-003                  7.0858836234000055E-001                  2.7208188869942884E-001                                        0                                        2 
                                       7                                      706                  1.2915904000000000E-004                 -4.5249125237142502E+000                  1.0000000000000000E+000                  3.3298071398586650E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166351589843326E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166351589843326E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.3833441899334655E+000                 -8.5316514140421987E+001                 -2.0169009709486737E+001                 -4.3833441899334655E+000                 -4.3833441899345047E+000                 -1.6004381324799937E+001                 -8.5316514140421987E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6456336245663201E+000                  1.3366571813194175E-001                  2.9821877079782760E-001                  3.8416300857074779E+000                  2.1791409940572150E-008                  1.4790512300503734E+001                  6.2666355733546855E-002                  6.6001406463906243E+000                  6.1668788357069315E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466782E-003                  8.5694137348165736E-003                  7.0858836234000055E-001                  2.7208188869942884E-001                                        0                                        2 
                                       8                                      706                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.0000000000000000E+000                  3.3298071398586650E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166374140615060E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166374140615060E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.3832676707965224E+000                 -8.5316514153291038E+001                 -2.0169009709486737E+001                 -4.3832676707965224E+000                 -4.3832676707975677E+000                 -1.6001505014055944E+001                 -8.5316514153291038E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6456336294983611E+000                  1.3366573794713871E-001                  2.9821877084134424E-001                  3.8416300856204448E+000                  1.8514650096791029E-008                  1.4790512300551798E+001                  6.2666355832938961E-002                  6.6001406463402441E+000                  6.1668788357072823E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466782E-003                  8.5694137348165736E-003                  7.0858836234000055E-001                  2.7208188869942884E-001                                        0                                        2 
                                       9                                      706                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.0000000000000000E+000                  3.3298071398586650E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166407387157977E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  1.7166407387157977E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.3831761501966362E+000                 -8.5316514166970137E+001                 -9.8999999999999986E+001                 -4.3831761501966362E+000                 -4.3831761501976851E+000                 -1.6000169951108333E+001                 -8.5316514166970137E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6456336340176216E+000                  1.3366575611308762E-001                  2.9821877088579735E-001                  3.8416300855315382E+000                  1.5760931611633051E-008                  1.4790512300605172E+001                  6.2666355951294508E-002                  6.6001406462764205E+000                  6.1668788357077220E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466782E-003                  8.5694137348165736E-003                  7.0858836234000055E-001                  2.7208188869942884E-001                                        0                                        2 
