                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20211216"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      706                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1015947638376121E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1015947638376121E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4478665589857362E+000                 -8.5809470945035940E+001                 -9.8999999999999986E+001                 -4.4478665589857362E+000                 -4.4478665589863926E+000                 -1.6268183711227607E+001                 -8.5809470945035940E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455207807748171E+000                  1.3547910110052017E-001                  2.9935114986512340E-001                  3.8393653275728861E+000                  1.3782048301368127E-006                  1.4759999864623936E+001                  4.3071914905684995E-002                  6.5892884683300412E+000                  6.1669406776007651E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165719E-003                  7.0929766000000039E-001                  2.7235424294237132E-001                                        0                                        2 
                                       2                                      706                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1883026139904163E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1883026139904163E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4478402208060501E+000                 -8.5809470944958605E+001                 -2.0169009709486737E+001                 -4.4478402208060501E+000                 -4.4478402208067891E+000                 -1.6216756623994417E+001                 -8.5809470944958605E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208179259144E+000                  1.3547924979563469E-001                  2.9935114991048534E-001                  3.8393653274821626E+000                  5.7789525684385364E-008                  1.4759999864627787E+001                  4.3071914660922375E-002                  6.5892884685748516E+000                  6.1669406775991065E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165719E-003                  7.0929766000000039E-001                  2.7235424294237126E-001                                        0                                        2 
                                       3                                      706                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1887514438525585E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1887514438525585E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4478086450948169E+000                 -8.5809470944864444E+001                 -9.8999999999999986E+001                 -4.4478086450948178E+000                 -4.4478086450956216E+000                 -1.6180218743091885E+001                 -8.5809470944864444E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208227261213E+000                  1.3547926900911422E-001                  2.9935114991681133E-001                  3.8393653274695105E+000                  6.7159028508882224E-009                  1.4759999864632462E+001                  4.3071914416777310E-002                  6.5892884688198672E+000                  6.1669406775974467E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165719E-003                  7.0929766000000027E-001                  2.7235424294237126E-001                                        0                                        3 
                                       4                                      706                  5.3680000000000008E-005                 -4.7624562618571247E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1881601558385333E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1881601558385333E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4477707975301835E+000                 -8.5809470944746408E+001                 -9.8999999999999986E+001                 -4.4477707975301835E+000                 -4.4477707975310352E+000                 -1.6155188652681112E+001                 -8.5809470944746408E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208235435324E+000                  1.3547927228084264E-001                  2.9935114991785278E-001                  3.8393653274674273E+000                  9.2138910883448424E-010                  1.4759999864638168E+001                  4.3071914173404592E-002                  6.5892884690651430E+000                  6.1669406775957858E-001                  8.5464440106736461E-001                  1.2845014863067969E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466795E-003                  8.5694137348165719E-003                  7.0929766000000039E-001                  2.7235424294237126E-001                                        0                                        2 
                                       5                                      706                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1887420664835310E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1887420664835310E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4477254426859281E+000                 -8.5809470944606630E+001                 -9.8999999999999986E+001                 -4.4477254426859290E+000                 -4.4477254426868127E+000                 -1.6138900367279053E+001                 -8.5809470944606630E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208239486652E+000                  1.3547927390199960E-001                  2.9935114991816753E-001                  3.8393653274667980E+000                  2.3205355311059621E-010                  1.4759999864644971E+001                  4.3071913930879509E-002                  6.5892884693106675E+000                  6.1669406775941227E-001                  8.5464440106736472E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466786E-003                  8.5694137348165736E-003                  7.0929766000000039E-001                  2.7235424294237126E-001                                        0                                        2 
                                       6                                      706                  9.9299200000000013E-005                 -4.6040937697618753E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1887645747698478E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1887645747698478E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4476711063070882E+000                 -8.5809470944436399E+001                 -2.0169009709486737E+001                 -4.4476711063070882E+000                 -4.4476711063079932E+000                 -1.6128971834711255E+001                 -8.5809470944436399E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208243194033E+000                  1.3547927538505530E-001                  2.9935114991821848E-001                  3.8393653274666959E+000                  3.1281728945408978E-011                  1.4759999864653290E+001                  4.3071913689479734E-002                  6.5892884695565721E+000                  6.1669406775924618E-001                  8.5464440106736461E-001                  1.2845014863067969E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466791E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165719E-003                  7.0929766000000039E-001                  2.7235424294237132E-001                                        0                                        2 
                                       7                                      706                  1.2915904000000000E-004                 -4.5249125237142502E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1888006029477016E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1888006029477016E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4476060311274024E+000                 -8.5809470944230668E+001                 -2.0169009709486737E+001                 -4.4476060311274024E+000                 -4.4476060311283190E+000                 -1.6123378120120510E+001                 -8.5809470944230668E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208246646857E+000                  1.3547927676513721E-001                  2.9935114991769379E-001                  3.8393653274677453E+000                 -2.6858050082353049E-010                  1.4759999864663289E+001                  4.3071913449361579E-002                  6.5892884698028888E+000                  6.1669406775907931E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165719E-003                  7.0929766000000027E-001                  2.7235424294237126E-001                                        0                                        2 
                                       8                                      706                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1876203343584146E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1876203343584146E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4475281253801136E+000                 -8.5809470943980585E+001                 -9.8999999999999986E+001                 -4.4475281253801144E+000                 -4.4475281253810364E+000                 -1.6120501334114625E+001                 -8.5809470943980585E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208249731590E+000                  1.3547927799649892E-001                  2.9935114991642864E-001                  3.8393653274702757E+000                 -5.3979414341079787E-010                  1.4759999864675361E+001                  4.3071913210798313E-002                  6.5892884700497119E+000                  6.1669406775891245E-001                  8.5464440106736472E-001                  1.2845014863067969E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466786E-003                  8.5694137348165719E-003                  3.1193270821466791E-003                  8.5694137348165719E-003                  7.0929766000000039E-001                  2.7235424294237132E-001                                        0                                        2 
                                       9                                      706                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1877687960677492E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999902962555E-001                  3.1877687960677492E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4474349031968989E+000                 -8.5809470943682342E+001                 -2.0169009709486737E+001                 -4.4474349031968980E+000                 -4.4474349031978235E+000                 -1.6119166050544152E+001                 -8.5809470943682342E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6455208252432012E+000                  1.3547927907271962E-001                  2.9935114991445377E-001                  3.8393653274742254E+000                 -7.0217124300301201E-010                  1.4759999864689842E+001                  4.3071912974074068E-002                  6.5892884702971148E+000                  6.1669406775874513E-001                  8.5464440106736461E-001                  1.2845014863067967E+000                  7.0929766000000005E-001                  2.7235424294237115E-001                  3.1193270821466795E-003                  8.5694137348165719E-003                  3.1193270821466795E-003                  8.5694137348165719E-003                  7.0929766000000039E-001                  2.7235424294237126E-001                                        0                                        2 
