                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.1.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20230513"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      705                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000004E-001                  3.3201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.8654747947651578E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.8654747947651578E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6072671884199208E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6072671884199208E+000                 -4.6072671892009920E+000                 -1.3352360778148512E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6059112899983310E+000                 -3.2163780668964415E-001                  1.5001167752301234E-001                  4.0411342592490520E+000                  0.0000000000000000E+000                  1.5161661580259635E+001                  3.9522448822835349E-001                  6.6531703156031590E+000                  6.3672380123580907E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  5.3600000000000048E-001                  2.3997445916978480E-001                                        0                                        2 
                                       5                                      706                  7.4416000000000014E-005                 -4.6832750158095005E+000                  8.0000000000000004E-001                  3.3201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999979525001E-001                  4.3248370933125002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999979525001E-001                  4.3248370933125002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6072671884048058E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6072671884048058E+000                 -4.6072671891858770E+000                 -1.3352360778103977E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6059005952905179E+000                 -3.2168058851288750E-001                  1.5001167602701790E-001                  4.0411342622410409E+000                  0.0000000000000000E+000                  1.5161661580266584E+001                  3.9522448823405304E-001                  6.6531703156044069E+000                  6.3672380123580818E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  5.3600000000000048E-001                  2.3997445916978480E-001                                        0                                        2 
                                      10                                      706                  2.5958682111999997E-004                 -4.2873687855713758E+000                  8.0000000000000004E-001                  3.3201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999979525001E-001                  4.3248370933125002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999979525001E-001                  4.3248370933125002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6072671883526430E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6072671883526430E+000                 -4.6072671891337151E+000                 -1.3352360777944545E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6059007992924754E+000                 -3.2167977046142621E-001                  1.5001167704883317E-001                  4.0411342601974098E+000                  0.0000000000000000E+000                  1.5161661580289360E+001                  3.9522448825210932E-001                  6.6531703156091231E+000                  6.3672380123580363E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  5.3600000000000048E-001                  2.3997445916978480E-001                                        0                                        2 
                                      15                                      706                  7.2035107872931814E-004                 -3.8914625553332525E+000                  8.0000000000000004E-001                  3.3201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999979525001E-001                  4.3248370933125002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999979525001E-001                  4.3248370933125002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6072671882139824E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6072671882139824E+000                 -4.6072671889950536E+000                 -1.3352360777515338E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6059008316598296E+000                 -3.2167964042996827E-001                  1.5001167732985363E-001                  4.0411342596353688E+000                  0.0000000000000000E+000                  1.5161661580348966E+001                  3.9522448829877899E-001                  6.6531703156220372E+000                  6.3672380123579142E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  5.3600000000000048E-001                  2.3997445916978480E-001                                        0                                        2 
                                      20                                      706                  1.8668799962237366E-003                 -3.4955563250951283E+000                  8.0000000000000004E-001                  3.3201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999979525001E-001                  4.3248370933125002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999979525001E-001                  4.3248370933125002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6072671878586737E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6072671878586737E+000                 -4.6072671886397449E+000                 -1.3352360776410819E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6059008429150241E+000                 -3.2167959514165606E-001                  1.5001167746362057E-001                  4.0411342593678352E+000                  0.0000000000000000E+000                  1.5161661580500642E+001                  3.9522448841689894E-001                  6.6531703156555269E+000                  6.3672380123575978E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  5.3600000000000048E-001                  2.3997445916978480E-001                                        0                                        2 
                                      25                                      706                  4.7198108322034473E-003                 -3.0996500948570040E+000                  8.0000000000000004E-001                  3.3201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.9089448715166189E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.9089448715166189E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6072671869649842E+000                 -9.8999999999999986E+001                 -1.9992918450431056E+001                 -4.6072671869649833E+000                 -4.6072671877460554E+000                 -1.3352360773629622E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6059008472880771E+000                 -3.2167957764734284E-001                  1.5001167746467128E-001                  4.0411342593657338E+000                  0.0000000000000000E+000                  1.5161661580881244E+001                  3.9522448871269816E-001                  6.6531703157401498E+000                  6.3672380123567973E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  5.3600000000000048E-001                  2.3997445916978480E-001                                        0                                        2 
                                      30                                      706                  1.1818815689988481E-002                 -2.7037438646188803E+000                  8.0000000000000004E-001                  3.3201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.8716558167328899E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.8716558167328899E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6072671847312083E+000                 -9.8999999999999986E+001                 -1.9691888454767074E+001                 -4.6072671847312074E+000                 -4.6072671855122795E+000                 -1.3352360766676977E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6059008483532748E+000                 -3.2167957378514983E-001                  1.5001167726537337E-001                  4.0411342597643296E+000                  0.0000000000000000E+000                  1.5161661581831678E+001                  3.9522448945073618E-001                  6.6531703159520852E+000                  6.3672380123547923E-001                  8.3500532100629521E-001                  1.3389885073860699E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724272E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  5.3600000000000048E-001                  2.3997445916978480E-001                                        0                                        2 
                                      35                                      706                  2.9483411457712130E-002                 -2.3078376343807561E+000                  8.0000000000000004E-001                  3.3201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.8668674981036551E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.8668674981036551E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6072671791623856E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6072671791623856E+000                 -4.6072671799434568E+000                 -1.3352360749344221E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6059008484997754E+000                 -3.2167957436010342E-001                  1.5001167668489443E-001                  4.0411342609252872E+000                  0.0000000000000000E+000                  1.5161661584200271E+001                  3.9522449128938014E-001                  6.6531703164808942E+000                  6.3672380123497929E-001                  8.3500532100629488E-001                  1.3389885073860694E+000                  6.6999999999999982E-001                  2.9996807396223091E-001                  5.1703250411792318E-003                  1.4070791467724266E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  5.3600000000000048E-001                  2.3997445916978480E-001                                        0                                        2 
                                      40                                      706                  7.3438578398454232E-002                 -1.9119314041426323E+000                  8.0000000000000004E-001                  3.3201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.8658853495682557E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999979525001E-001                  3.8658853495682557E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.6072671652968271E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.6072671652968271E+000                 -4.6072671660778983E+000                 -1.3352360706188247E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6059008483795729E+000                 -3.2167957779099582E-001                  1.5001167520985301E-001                  4.0411342638753709E+000                  0.0000000000000000E+000                  1.5161661590097367E+001                  3.9522449586643199E-001                  6.6531703177980761E+000                  6.3672380123373373E-001                  8.3500532100629488E-001                  1.3389885073860703E+000                  6.6999999999999937E-001                  2.9996807396223091E-001                  5.1703250411792318E-003                  1.4070791467724266E-002                  5.1703250411792318E-003                  1.4070791467724260E-002                  5.3600000000000048E-001                  2.3997445916978477E-001                                        0                                        2 
