                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.1.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20230513"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      606                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1079256773629783E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1079256773629783E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6272040355072157E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6272040355072157E+000                 -9.6272040355072157E+000                 -3.1709141160196815E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062493226330520E+000                  1.7093263120122797E+000                  9.6481767160453225E-001                  2.8094622797580495E+000                  0.0000000000000000E+000                  1.2720379025033496E+001                 -1.6361109451148448E+000                  6.2095268243614461E+000                  5.9267489424439346E-001                  8.7970426389971090E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451484996E-005                  3.4468833607857733E-005                  9.3805276451484996E-005                  1.5188000000000006E+000                  4.8074883320346884E-001                                        0                                        2 
                                       5                                      601                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.0537930365631785E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.0537930365631785E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6272040325589519E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6272040325589519E+000                 -9.6272040325589519E+000                 -3.1709141150313137E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062473608247766E+000                  1.7093184454266295E+000                  9.6481766192825746E-001                  2.8094622991105993E+000                  0.0000000000000000E+000                  1.2720379025993187E+001                 -1.6361109443858481E+000                  6.2095268245922899E+000                  5.9267489424438802E-001                  8.7970426389971090E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451484996E-005                  3.4468833607857733E-005                  9.3805276451484996E-005                  1.5188000000000006E+000                  4.8074883320346884E-001                                        0                                        2 
                                      10                                      601                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.0602942938635276E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.0602942938635276E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6272040241082024E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6272040241082024E+000                 -9.6272040241082024E+000                 -3.1709141121984683E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062483323092734E+000                  1.7093223567019027E+000                  9.6481767459690204E-001                  2.8094622737733101E+000                  0.0000000000000000E+000                  1.2720379028746608E+001                 -1.6361109422934816E+000                  6.2095268252537936E+000                  5.9267489424437236E-001                  8.7970426389971090E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451484996E-005                  3.4468833607857733E-005                  9.3805276451484996E-005                  1.5188000000000006E+000                  4.8074883320346884E-001                                        0                                        2 
                                      15                                      601                  7.2035107872931814E-004                 -3.8914625553332525E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.0722311519632726E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.0722311519632726E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6272040030515598E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6272040030515598E+000                 -9.6272040030515598E+000                 -3.1709141051390343E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062482110421437E+000                  1.7093218593434381E+000                  9.6481766845192818E-001                  2.8094622860632579E+000                  0.0000000000000000E+000                  1.2720379035604552E+001                 -1.6361109370830700E+000                  6.2095268269024242E+000                  5.9267489424433351E-001                  8.7970426389971090E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451484996E-005                  3.4468833607857733E-005                  9.3805276451484996E-005                  1.5188000000000006E+000                  4.8074883320346884E-001                                        0                                        2 
                                      20                                      601                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.0882335489655714E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.0882335489655714E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6272039506452778E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6272039506452778E+000                 -9.6272039506452778E+000                 -3.1709140875688945E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062481217461811E+000                  1.7093214855193251E+000                  9.6481766013179726E-001                  2.8094623027035199E+000                  0.0000000000000000E+000                  1.2720379052671923E+001                 -1.6361109241163785E+000                  6.2095268310058236E+000                  5.9267489424423669E-001                  8.7970426389971090E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451484996E-005                  3.4468833607857733E-005                  9.3805276451484996E-005                  1.5188000000000006E+000                  4.8074883320346884E-001                                        0                                        2 
                                      25                                      601                  4.7198108322034473E-003                 -3.0996500948570040E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1014849389728953E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1014849389728953E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6272038202290560E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6272038202290560E+000                 -9.6272038202290560E+000                 -3.1709140438440414E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062480945247698E+000                  1.7093213515595844E+000                  9.6481764759475019E-001                  2.8094623277776138E+000                  0.0000000000000000E+000                  1.2720379095144104E+001                 -1.6361108918492535E+000                  6.2095268412176434E+000                  5.9267489424399589E-001                  8.7970426389971090E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451484996E-005                  3.4468833607857733E-005                  9.3805276451484996E-005                  1.5188000000000006E+000                  4.8074883320346884E-001                                        0                                        2 
                                      30                                      601                  1.1818815689988481E-002                 -2.7037438646188803E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1074794200518287E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1074794200518287E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6272034956994705E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6272034956994705E+000                 -9.6272034956994705E+000                 -3.1709139350379346E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062480909792899E+000                  1.7093212826116666E+000                  9.6481762021175066E-001                  2.8094623825436131E+000                  0.0000000000000000E+000                  1.2720379200831584E+001                 -1.6361108115564473E+000                  6.2095268666291368E+000                  5.9267489424339614E-001                  8.7970426389971090E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451484996E-005                  3.4468833607857733E-005                  9.3805276451484996E-005                  1.5188000000000006E+000                  4.8074883320346884E-001                                        0                                        2 
                                      35                                      601                  2.9483411457712130E-002                 -2.3078376343807561E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1085262969373554E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1085262969373554E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6272026881547088E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6272026881547088E+000                 -9.6272026881547088E+000                 -3.1709136642895771E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062480940713027E+000                  1.7093211608392556E+000                  9.6481755314151940E-001                  2.8094625166840754E+000                  0.0000000000000000E+000                  1.2720379463818849E+001                 -1.6361106117604920E+000                  6.2095269298622897E+000                  5.9267489424190423E-001                  8.7970426389971090E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451484996E-005                  3.4468833607857733E-005                  9.3805276451484996E-005                  1.5188000000000006E+000                  4.8074883320346884E-001                                        0                                        2 
                                      40                                      601                  7.3438578398454232E-002                 -1.9119314041426323E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1082554442066352E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998145425495E-001                  2.1082554442066352E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6272006787170383E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.6272006787170383E+000                 -9.6272006787170383E+000                 -3.1709129905794576E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7062481034923676E+000                  1.7093208654428904E+000                  9.6481738660120619E-001                  2.8094628497647016E+000                  0.0000000000000000E+000                  1.2720380118217985E+001                 -1.6361101146026698E+000                  6.2095270872077206E+000                  5.9267489423819120E-001                  8.7970426389971090E-001                  1.2202349161401336E+000                  7.5939999999999996E-001                  2.4037441660173442E-001                  3.4468833607857726E-005                  9.3805276451484996E-005                  3.4468833607857733E-005                  9.3805276451484996E-005                  1.5188000000000006E+000                  4.8074883320346884E-001                                        0                                        2 
